"Subject"	"Activity"	"MeanSamples"
"99"	17	"STANDING"	-0.50338638848494
"100"	17	"WALKING"	-0.242064248421579
"101"	17	"WALKING_DOWNSTAIRS"	-0.182403439477011
"102"	17	"WALKING_UPSTAIRS"	-0.246523874042598
"103"	18	"LAYING"	-0.476584858175258
"104"	18	"SITTING"	-0.507016682155666
"105"	18	"STANDING"	-0.516995118277299
"106"	18	"WALKING"	-0.303755488361837
"107"	18	"WALKING_DOWNSTAIRS"	-0.287530093238029
"108"	18	"WALKING_UPSTAIRS"	-0.351728198476072
"109"	19	"LAYING"	-0.481799984616326
"110"	19	"SITTING"	-0.523886131083307
"111"	19	"STANDING"	-0.511534378900244
"112"	19	"WALKING"	-0.0470520681098295
"113"	19	"WALKING_DOWNSTAIRS"	0.153894332053419
"114"	19	"WALKING_UPSTAIRS"	-0.136243832185083
"115"	20	"LAYING"	-0.483017979311659
"116"	20	"SITTING"	-0.518569827252328
"117"	20	"STANDING"	-0.504187378565057
"118"	20	"WALKING"	-0.0698454554635772
"119"	20	"WALKING_DOWNSTAIRS"	-0.0333257730298056
"120"	20	"WALKING_UPSTAIRS"	-0.167076478988945
"121"	21	"LAYING"	-0.49454380362185
"122"	21	"SITTING"	-0.507629548460829
"123"	21	"STANDING"	-0.507469636260528
"124"	21	"WALKING"	-0.172036294921447
"125"	21	"WALKING_DOWNSTAIRS"	-0.0853955587156603
"126"	21	"WALKING_UPSTAIRS"	-0.224552093876246
"127"	22	"LAYING"	-0.477544863923924
"128"	22	"SITTING"	-0.515916144835563
"129"	22	"STANDING"	-0.519400155171034
"130"	22	"WALKING"	-0.104377610995071
"131"	22	"WALKING_DOWNSTAIRS"	-0.0893939164747577
"132"	22	"WALKING_UPSTAIRS"	-0.135767117956155
"133"	23	"LAYING"	-0.478763205682804
"134"	23	"SITTING"	-0.500438413720013
"135"	23	"STANDING"	-0.5087748056551
"136"	23	"WALKING"	-0.0663734192230684
"137"	23	"WALKING_DOWNSTAIRS"	0.0282287233852831
"138"	23	"WALKING_UPSTAIRS"	-0.200687275204487
"139"	24	"LAYING"	-0.478915203075817
"140"	24	"SITTING"	-0.518292863118244
"141"	24	"STANDING"	-0.508451927549462
"142"	24	"WALKING"	-0.277753019463522
"143"	24	"WALKING_DOWNSTAIRS"	-0.168634092135705
"144"	24	"WALKING_UPSTAIRS"	-0.289503308394237
"145"	25	"LAYING"	-0.449720364490491
"146"	25	"SITTING"	-0.512967380331885
"147"	25	"STANDING"	-0.507319338296147
"148"	25	"WALKING"	-0.345230164226741
"149"	25	"WALKING_DOWNSTAIRS"	-0.279744457704758
"150"	25	"WALKING_UPSTAIRS"	-0.372070790568585
"151"	26	"LAYING"	-0.474823895824361
"152"	26	"SITTING"	-0.512421461620013
"153"	26	"STANDING"	-0.506898586679049
"154"	26	"WALKING"	-0.243536955332899
"155"	26	"WALKING_DOWNSTAIRS"	-0.130196153442354
"156"	26	"WALKING_UPSTAIRS"	-0.260645846852859
"157"	27	"LAYING"	-0.475198884655901
"158"	27	"SITTING"	-0.511993092560808
"159"	27	"STANDING"	-0.503821240253405
"160"	27	"WALKING"	-0.235411657777964
"161"	27	"WALKING_DOWNSTAIRS"	-0.113832376866642
"162"	27	"WALKING_UPSTAIRS"	-0.288718720344895
"163"	28	"LAYING"	-0.496075939972005
"164"	28	"SITTING"	-0.520481757072803
"165"	28	"STANDING"	-0.509436174524991
"166"	28	"WALKING"	-0.251063171872173
"167"	28	"WALKING_DOWNSTAIRS"	-0.0848908437866789
"168"	28	"WALKING_UPSTAIRS"	-0.243896102724992
"169"	29	"LAYING"	-0.46840376137079
"170"	29	"SITTING"	-0.508769649428998
"171"	29	"STANDING"	-0.504643687218785
"172"	29	"WALKING"	-0.194409942663334
"173"	29	"WALKING_DOWNSTAIRS"	-0.125371896945624
"174"	29	"WALKING_UPSTAIRS"	-0.208249578108536
"175"	30	"LAYING"	-0.490408418798375
"176"	30	"SITTING"	-0.518286957433214
"177"	30	"STANDING"	-0.514953065463908
"178"	30	"WALKING"	-0.219377350864122
"179"	30	"WALKING_DOWNSTAIRS"	-0.170357666195567
"180"	30	"WALKING_UPSTAIRS"	-0.301231927228575
